what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1297163430199
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1297163430357
started,bundle,org.eclipse.jst.j2ee,1.1.301.v200909030330,"org.eclipse.jst.j2ee",1297163430457
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1297163431264
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1297163431319
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1297163432040
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1297163433604
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1297163433654
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297163434405
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297163439349
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1297163449641
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1297163449826
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1297163454951
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297163459714
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1297163471350
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1297163471400
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1297163472411
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297163472800
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297163481758
started,bundle,com.sun.enterprise.jst.server.sunappsrv,1.0.35,"com.sun.enterprise.jst.server.sunappsrv",1297163483520
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1297163500759
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1297163501236
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1297163501858
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297163525398
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1297163532294
