what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1297079515335
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1297079515406
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1297079515468
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1297079515582
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1297079515707
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1297079515708
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1297079515731
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1297079515800
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1297079515895
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1297079516014
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1297079516084
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1297079516134
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1297079516134
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1297079516135
os,sysinfo,,,"linux",1297079516140
arch,sysinfo,,,"x86",1297079516140
ws,sysinfo,,,"gtk",1297079516140
locale,sysinfo,,,"ru_RU",1297079516140
processors,sysinfo,,,"1",1297079516142
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297079516142
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1297079516142
java.specification.name,sysinfo,,,"Java Platform API Specification",1297079516142
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297079516142
java.specification.version,sysinfo,,,"1.6",1297079516142
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1297079516142
