what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149565504
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.window.lockToolBar",1297149569675
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149584092
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149585150
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149591404
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149595396
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149599488
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149820157
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297149829526
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1297163411378
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1297163425285
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1297163425745
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1297163425781
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1297163426259
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200908181930,"org.eclipse.jst.j2ee.core",1297163426271
started,bundle,org.eclipse.jem,2.0.300.v200901272200,"org.eclipse.jem",1297163426461
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1297163426586
started,bundle,org.eclipse.jst.jee,1.0.201.v200909030330,"org.eclipse.jst.jee",1297163428063
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.core",1297163428846
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1297163428905
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1297163429029
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1297163429433
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1297163429630
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1297163429697
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1297163430092
