what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1297328080585
ws,sysinfo,,,"gtk",1297328080585
locale,sysinfo,,,"ru_RU",1297328080585
processors,sysinfo,,,"1",1297328080586
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1297328080588
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1297328080588
java.specification.name,sysinfo,,,"Java Platform API Specification",1297328080588
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297328080588
java.specification.version,sysinfo,,,"1.6",1297328080588
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1297328080588
java.version,sysinfo,,,"1.6.0_18",1297328080588
java.vm.info,sysinfo,,,"mixed mode, sharing",1297328080588
java.vm.name,sysinfo,,,"OpenJDK Client VM",1297328080588
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297328080588
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297328080588
java.vm.specification.version,sysinfo,,,"1.0",1297328080588
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1297328080588
java.vm.version,sysinfo,,,"16.0-b13",1297328080588
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1297328080735
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1297328080813
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1297328081064
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1297328081360
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1297328081506
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1297328081742
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1297328081816
